dataset,hidden_units,variational_error,validation_error
chebyshev_polynomial,10,3.262951304,1.213071475
chebyshev_polynomial,10,1.330926961,0.8963023855
chebyshev_polynomial,10,0.9536166469,0.5736950364
chebyshev_polynomial,10,1.360325999,0.9096525578
chebyshev_polynomial,10,1.360325522,0.9079120763
chebyshev_polynomial,10,1.360387987,0.9094027337
chebyshev_polynomial,100,0.6446212782,0.4745761996
chebyshev_polynomial,100,0.6764617218,0.3800022576
chebyshev_polynomial,100,0.6435498251,0.411783023
chebyshev_polynomial,500,0.6399376644,0.5398209792
chebyshev_polynomial,500,0.6418615832,0.5387332667
chebyshev_polynomial,500,0.8536377964,0.594885147
chebyshev_polynomial,1000,0.6441703095,0.4793411108
chebyshev_polynomial,1000,0.6422984852,0.4595013811
chebyshev_polynomial,1000,0.6430672659,0.4821549768
chebyshev_polynomial,5000,0.6275410904,0.4839623083
chebyshev_polynomial,5000,0.2240966027,0.5107011128
chebyshev_polynomial,5000,0.628369595,0.4882615631
chebyshev_polynomial,10000,0.5317890896,0.4513783071
chebyshev_polynomial,10000,0.526383902,0.4445364634
chebyshev_polynomial,10000,0.5482105269,0.4489173593
constant-adjusted,10,0,0
constant-adjusted,10,0,0
constant-adjusted,10,0,0
constant-adjusted,100,0,0
constant-adjusted,100,0,0
constant-adjusted,100,0,0
constant-adjusted,500,0,0
constant-adjusted,500,0,0
constant-adjusted,500,0,0
constant-adjusted,1000,0,0
constant-adjusted,1000,0,0
constant-adjusted,1000,0,0
constant-adjusted,5000,0,0
constant-adjusted,5000,0,0
constant-adjusted,5000,0,0
constant-adjusted,10000,0,0
constant-adjusted,10000,0,0
constant-adjusted,10000,0,0
constant-unadjusted,10,0.001598715782,0.0004325613119
constant-unadjusted,10,0.01144480705,0.00387598719
constant-unadjusted,10,0.00147664547,0.0006556795731
constant-unadjusted,100,0.0009083747864,0.0004051125529
constant-unadjusted,100,0.00183391571,0.0006688683723
constant-unadjusted,100,0.0006151199341,0.0002630446715
constant-unadjusted,500,0.02402734756,0.007904277676
constant-unadjusted,500,0.01835596561,0.007983694783
constant-unadjusted,500,0.01985132694,0.008230274099
constant-unadjusted,1000,0.0004829764366,0.0002825274135
constant-unadjusted,1000,0.0005625486374,0.0002830638659
constant-unadjusted,1000,0.0005185008049,0.0002866257111
constant-unadjusted,5000,0.5974965096,0.144398406
constant-unadjusted,5000,0.1147003174,0.05018650807
constant-unadjusted,5000,1.362576008,0.2771035818
constant-unadjusted,10000,0.0003545880318,0.0002024198734
constant-unadjusted,10000,0.0003831982613,0.0002050607039
constant-unadjusted,10000,0.0003544688225,0.0001948990823
linear-adjusted,10,3.55E-15,2.02E-15
linear-adjusted,10,3.55E-15,2.02E-15
linear-adjusted,10,3.55E-15,2.02E-15
linear-adjusted,100,3.55E-15,2.02E-15
linear-adjusted,100,3.55E-15,2.02E-15
linear-adjusted,100,3.55E-15,2.02E-15
linear-adjusted,500,3.55E-15,2.02E-15
linear-adjusted,500,3.55E-15,2.02E-15
