dataset,hidden_units,variational_error,validation_error
chebyshev_polynomial,10,4.74168836,1.16399817
chebyshev_polynomial,10,4.741687168,1.163998166
chebyshev_polynomial,10,4.267519941,1.403820747
chebyshev_polynomial,100,0.6432651533,0.4133029442
chebyshev_polynomial,100,0.6731957449,0.4538067963
chebyshev_polynomial,100,0.6853785767,0.4209116306
chebyshev_polynomial,150,0.6446717038,0.4479699482
chebyshev_polynomial,150,0.6494243397,0.4970186117
chebyshev_polynomial,150,0.707757379,0.3960811281
chebyshev_polynomial,500,3.352621145,1.137289376
chebyshev_polynomial,500,0.6404140248,0.4573553083
chebyshev_polynomial,500,0.6798195461,0.4639340585
constant,10,0.0003795176744,0.00006317403826
constant,10,0.0008498728275,0.0001289828436
constant,10,0.008599758148,0.001509507976
constant,100,0.03775328398,0.01451059509
constant,100,0.05526323617,0.01856910099
constant,100,0.04822328687,0.01276922762
constant,150,0.0545010455,0.01648833969
constant,150,0.0527632907,0.02233406251
constant,150,0.06609984487,0.02398710863
constant,500,0.2441422492,0.09402721874
constant,500,0.6441451311,0.2716126875
constant,500,1.086564779,0.3670648064
linear,10,0.0007161796093,0.0003666015713
linear,10,0.0001214146614,0.00006804435913
linear,10,0.0004562884569,0.0002288913323
linear,100,0.03286902606,0.01377557121
linear,100,0.03526316583,0.01057273612
linear,100,0.02133820951,0.006738649799
linear,150,0.04950579256,0.0176635187
linear,150,0.07559047639,0.02735460346
linear,150,0.06212362647,0.0206742517
linear,500,1.017847061,0.2960820977
linear,500,0.5845003724,0.19866877
linear,500,0.1093741357,0.05891600255
parabola,10,16.37499905,6.193836012
parabola,10,16.37500048,6.18853457
parabola,10,14.00901401,7.602997838
parabola,100,0.6152683512,2.563320929
parabola,100,0.4234684775,2.455732679
parabola,100,0.4227250833,2.501360807
parabola,150,0.3269886064,2.488760145
parabola,150,0.8834740126,2.558314145
parabola,150,0.5799912283,2.504281772
parabola,500,1.539306622,2.491829081
parabola,500,0.4130888554,2.44342825
parabola,500,1.052526448,2.485303326
polynomial_spline,10,0.6293907593,1.243034476
polynomial_spline,10,0.8612066355,1.637314102
polynomial_spline,10,2.579401595,1.210102544
polynomial_spline,100,0.2125985197,1.305429629
polynomial_spline,100,0.8163900214,1.120484093
polynomial_spline,100,0.449871821,1.494177348
polynomial_spline,150,0.8556462643,1.628400261
polynomial_spline,150,1.432275625,1.834504305
polynomial_spline,150,1.003567154,1.615040314
polynomial_spline,500,7.782841451,3.867013325
polynomial_spline,500,4.033598743,1.34127029
polynomial_spline,500,2.093508176,1.036209663
sine,10,0.7387925856,0.4507662546
sine,10,0.7524291183,0.40867666
sine,10,0.7443287358,0.4507556569
sine,100,0.1456836511,0.11083624
sine,100,0.07853351481,0.1043008614
sine,100,0.1421561788,0.1118959985
sine,150,0.1443856046,0.1183687658
sine,150,0.1278843333,0.1136559722
sine,150,0.06314774916,0.1058059539
sine,500,0.4830985291,0.1917283309
sine,500,1.907283972,0.6655458892
sine,500,0.2717736264,0.1374523504
square,10,0.7893944231,0.4701779735
square,10,0.4900568248,0.2762852304
square,10,0.7893947882,0.4701779735
square,100,0.1290164671,0.2547468207
square,100,0.1541096947,0.2528095964
square,100,0.1321971497,0.250821244
square,150,0.1161379895,0.2476806678
square,150,0.1285965524,0.2430012411
square,150,0.1762577386,0.2589712485
square,500,0.4548186817,0.391371231
square,500,0.7833866543,0.4188915098
square,500,0.2020491939,0.227477909
