dataset,hidden_units,variational_error,validation_error
chebyshev_polynomial,10,3.262959291,1.210336083
chebyshev_polynomial,10,2.41708619,1.691341851
chebyshev_polynomial,10,1.387703008,0.9437182878
chebyshev_polynomial,100,0.6432640805,0.4964260609
chebyshev_polynomial,100,0.7204910335,0.4998856642
chebyshev_polynomial,100,0.668291102,0.468510512
chebyshev_polynomial,500,0.6401448502,0.5285180594
chebyshev_polynomial,500,0.6320727124,0.4298890098
chebyshev_polynomial,500,0.6406011834,0.5310951954
chebyshev_polynomial,1000,0.6430206551,0.4877746873
chebyshev_polynomial,1000,0.6433757796,0.4822461183
chebyshev_polynomial,1000,0.6432078137,0.4933820746
chebyshev_polynomial,5000,0.6407475724,0.4157954531
chebyshev_polynomial,5000,0.3259723774,0.5080944936
chebyshev_polynomial,5000,0.6218210711,0.4825815671
chebyshev_polynomial,10000,0.5691477312,0.4494080079
chebyshev_polynomial,10000,0.5746644987,0.4492443081
chebyshev_polynomial,10000,0.5523183598,0.4468070746
constant_adjusted,10,0.0001398324966,0.00003815762426
constant_adjusted,10,0.001148566604,0.0005006945836
constant_adjusted,10,0.01060983539,0.002501604718
constant_adjusted,100,0.007084951736,0.003426235519
constant_adjusted,100,0.01202368364,0.00608624987
constant_adjusted,100,0.01378883049,0.005834628983
constant_adjusted,500,0.03984062374,0.01168318982
constant_adjusted,500,0.03954277933,0.01276309561
constant_adjusted,500,0.02543215826,0.01073046935
constant_adjusted,1000,0.003490585834,0.00192342619
constant_adjusted,1000,0.004995942116,0.002060117943
constant_adjusted,1000,0.007048942149,0.003276399234
constant_adjusted,5000,0.3427867293,0.1433025617
constant_adjusted,5000,0.3569663167,0.1094229918
constant_adjusted,5000,0.1279444098,0.04408609283
constant_adjusted,10000,0.003559652716,0.001746567833
constant_adjusted,10000,0.003476679325,0.001693819057
constant_adjusted,10000,0.003851175308,0.001783338937
constant_unadjusted,10,0.005702853203,0.002743370447
constant_unadjusted,10,0.002970814705,0.0007969733388
constant_unadjusted,10,0.003831505775,0.001695410946
constant_unadjusted,100,0.0111027956,0.005149392361
constant_unadjusted,100,0.01240992546,0.006415110045
constant_unadjusted,100,0.007993221283,0.003592219388
constant_unadjusted,500,0.01510643959,0.004991618806
constant_unadjusted,500,0.05922472477,0.02081442332
constant_unadjusted,500,0.04102468491,0.01534618818
constant_unadjusted,1000,0.002737402916,0.001366663685
constant_unadjusted,1000,0.008916974068,0.004856231127
constant_unadjusted,1000,0.005270957947,0.002804146285
constant_unadjusted,5000,0.3872699738,0.1190621695
constant_unadjusted,5000,0.2115936279,0.07589976366
constant_unadjusted,5000,0.3200799227,0.1251829024
constant_unadjusted,10000,0.004927545786,0.001911588704
constant_unadjusted,10000,0.002826355398,0.001567775159
constant_unadjusted,10000,0.003674149513,0.001638835336
linear_adjusted,10,0.005478516221,0.002234128694
linear_adjusted,10,0.001499376958,0.000681624432
linear_adjusted,100,0.0186067061,0.009082499026
linear_adjusted,100,0.05324987932,0.01622700299
linear_adjusted,100,0.004658527672,0.001959011825
linear_adjusted,100,0.02807825262,0.009932325444
linear_adjusted,500,0.02004671469,0.007623590064
linear_adjusted,500,0.07057675448,0.01949770183
linear_adjusted,1000,0.00409859186,0.002129080597
linear_adjusted,1000,0.01308328455,0.006162759422
linear_adjusted,1000,0.01613148776,0.008167210711
linear_adjusted,1000,0.01822354577,0.007171675317
linear_adjusted,5000,0.703936398,0.1570067398
linear_adjusted,5000,0.2560687065,0.07944442124
linear_adjusted,10000,0.004119744524,0.001948718548
linear_adjusted,10000,0.003969043493,0.001889667468
linear_adjusted,10000,0.01013148915,0.005930874778
linear_adjusted,10000,0.01338182796,0.005881778687
linear_unadjusted,10,0.00316619873,0.001400265508
linear_unadjusted,10,0.0003623785451,0.0001449477473
linear_unadjusted,10,0.0003616159612,0.0001823811903
linear_unadjusted,10,0.017106403,0.003612850613
linear_unadjusted,100,0.006949827541,0.003277759137
linear_unadjusted,100,0.005400385708,0.00269591369
linear_unadjusted,500,0.06701417403,0.02201020738
linear_unadjusted,500,0.05377195403,0.01378965038
linear_unadjusted,500,0.002311646938,0.001045000926
linear_unadjusted,500,0.05148748918,0.01037388919
linear_unadjusted,1000,0.003994513303,0.001969077915
linear_unadjusted,1000,0.007559101097,0.003205911899
linear_unadjusted,5000,0.2184428302,0.078588301
